id,jee_main_score,jee_advanced_score,mock_test_score_avg,school_board,class_12_percent,attempt_count,coaching_institute,daily_study_hours,family_income,parent_education,location_type,peer_pressure_level,mental_health_issues,dropout
ST5001,78.95,59.22,59.86,CBSE,70.09,1,FIITJEE,5.4,Low,Upto 10th,Urban,Low,No,yes
ST5002,70.06,58.75,64.33,State,78,1,FIITJEE,5.5,Mid,Upto 10th,Urban,Low,Yes,no
ST5003,81.07,37.27,60.83,ICSE,64.36,1,FIITJEE,7,Low,PG,Semi-Urban,Medium,Yes,yes
ST5004,93.32,60.72,69.33,ICSE,73.21,1,FIITJEE,2.1,Low,12th,Semi-Urban,Medium,Yes,no
ST5005,68.72,77.73,82.37,CBSE,89.02,1,Allen,6.3,Mid,Graduate,Semi-Urban,High,No,no
ST5006,68.72,45.61,58.75,State,79.28,1,Local,4.5,Mid,Graduate,Semi-Urban,Low,No,no
ST5007,94.11,82.78,80.01,CBSE,76.31,1,Local,3.7,Mid,Upto 10th,Semi-Urban,Medium,No,no
ST5008,82.74,73.8,58.62,CBSE,77.15,1,No Coaching,2.2,High,12th,Urban,Low,No,no
ST5009,65.43,54.25,57.83,ICSE,71.11,1,Local,5.7,Mid,Upto 10th,Semi-Urban,Low,No,no
ST5010,79.6,63.74,77.82,State,94.96,2,No Coaching,2.7,Mid,12th,Rural,High,Yes,no
ST5011,65.51,91.57,79.06,CBSE,66.88,1,No Coaching,5.5,Mid,Graduate,Urban,Low,No,no
ST5012,65.48,77.74,78.22,ICSE,77.11,1,FIITJEE,8.4,High,Upto 10th,Semi-Urban,Medium,Yes,no
ST5013,75.39,66.14,52.21,CBSE,76.15,2,Allen,6.5,Mid,12th,Rural,Medium,No,no
ST5014,45.21,62.2,62.41,ICSE,85.09,2,Allen,7.3,Low,Graduate,Urban,Medium,Yes,yes
ST5015,47.85,67.23,77.88,State,86.03,2,Local,3.1,Low,12th,Rural,Medium,Yes,yes
ST5016,64.13,57.81,68.5,CBSE,74.68,2,No Coaching,6,High,Graduate,Semi-Urban,Low,No,no
ST5017,57.82,32.32,55.12,State,77.91,1,FIITJEE,2.2,High,PG,Rural,Medium,No,no
ST5018,76.4,98.67,73.5,State,78.29,1,No Coaching,4,High,PG,Rural,High,Yes,no
ST5019,59.29,68.49,59.42,ICSE,52.28,1,FIITJEE,8,High,12th,Urban,Low,No,no
ST5020,52.23,72.37,89.53,CBSE,59.11,2,No Coaching,3.3,High,Upto 10th,Rural,Medium,Yes,no
ST5021,92.52,65.07,86.54,CBSE,68.95,1,Local,6.7,Mid,12th,Rural,Medium,Yes,no
ST5022,68.84,54.24,75.25,ICSE,69.38,1,Local,6.5,Low,PG,Urban,High,Yes,yes
ST5023,72.95,63.03,84.33,ICSE,63.01,2,No Coaching,6.6,Low,Upto 10th,Semi-Urban,Low,No,yes
ST5024,52.05,40.41,68.78,State,82.5,2,Allen,2,Mid,PG,Rural,High,Yes,no
ST5025,64.38,100,77.19,CBSE,75.02,2,FIITJEE,5.6,High,PG,Semi-Urban,High,Yes,no
ST5026,73.55,46.25,85.73,CBSE,72.85,2,Allen,4.2,Mid,Upto 10th,Urban,Medium,No,no
ST5027,55.89,49.49,70.95,ICSE,62.44,2,Allen,6.7,High,Upto 10th,Semi-Urban,Medium,Yes,no
ST5028,77.26,58.96,64.94,ICSE,74.55,1,No Coaching,1.2,Low,PG,Rural,High,Yes,yes
ST5029,63.59,86.61,47.54,ICSE,50,2,FIITJEE,5.2,Low,Graduate,Rural,Low,Yes,no
ST5030,67.92,66.23,67,CBSE,73.37,2,FIITJEE,5,High,Upto 10th,Semi-Urban,Low,No,no
ST5031,63.58,46.22,77.88,CBSE,75.63,1,Local,0.5,Mid,PG,Semi-Urban,Low,No,no
ST5032,97.93,86.07,79.35,State,77.42,1,No Coaching,2.7,High,Upto 10th,Rural,High,No,no
ST5033,71.81,77.7,74.05,ICSE,59.36,1,No Coaching,0.8,High,Upto 10th,Urban,Low,Yes,no
ST5034,57.19,74.61,61.5,State,77.25,2,No Coaching,3,Low,PG,Rural,Medium,No,no
ST5035,83.52,77.45,44.28,CBSE,64.59,2,Local,5.6,High,Graduate,Rural,High,No,no
ST5036,54.91,100,62.06,State,66.88,1,Local,4.9,Mid,12th,Semi-Urban,High,No,no
ST5037,74.92,100,64.35,State,82.18,1,FIITJEE,4.8,High,PG,Rural,High,No,no
ST5038,44.56,55.01,64.24,State,95.14,2,Local,2.4,Low,Graduate,Semi-Urban,Low,Yes,yes
ST5039,53.41,91.98,75.42,ICSE,75.51,1,No Coaching,6.7,Mid,PG,Urban,Low,No,no
ST5040,74.76,72.13,91.83,CBSE,66.83,1,No Coaching,4.5,Mid,Graduate,Rural,Medium,Yes,no
ST5041,82.34,73.99,69.48,ICSE,76.89,1,Allen,4.6,Low,12th,Urban,Low,Yes,no
ST5042,74.4,38.92,65.4,State,84.39,1,Local,6.4,Low,12th,Urban,Low,No,yes
ST5043,70.38,63.27,64.89,ICSE,81.21,2,No Coaching,2.5,High,Upto 10th,Rural,Low,No,no
ST5044,67.78,52.99,69.49,CBSE,100,2,No Coaching,5,Low,Upto 10th,Semi-Urban,Low,No,no
